name,lat,lng,FSA,RATINGS
Norway,43.6765008,-79.3063272,M4L,7.3
Bowmore Road,43.6765732,-79.3149553,M4L,5.4
Roden,43.6738611,-79.3231195,M4L,5.4
Duke of Connaught,43.6658905,-79.3227024,M4L,6.8
Whole Child,43.6738611,-79.3231195,M4L,5.5
Leslieville,43.6674114,-79.3325613,M4M,5.1
Morse Street,43.6601755,-79.3401699,M4M,6.5
Bruce,43.6610444,-79.3333393,M4M,6.2
First Nations School of Toronto,43.599916,-79.595054,M4M,1.6
Bedford Park,43.7277246,-79.4002692,M4N,8.6
Blythwood,43.7198522,-79.389197,M4N,9.1
John Ross Robertson,43.7183346,-79.4088675,M4R,9.3
Davisville,43.6993769,-79.3949243,M4S,8.6
Whitney,43.6871689,-79.3784005,M4T,9.5
Deer Park,41.358112,-74.123657,M4T,7.2
Brown,43.6847687,-79.4009306,M4V,7.5
Rosedale,41.4227572,-73.6047972,M4W,8.7
Rose Avenue,43.6701737,-79.3725087,M4X,6.1
Church Street,32.7893883,-79.930966,M4Y,4.7
Lord Dufferin,43.6606768,-79.3668498,M5A,6.3
Market Lane,43.6497565,-79.3646344,M5A,5.4
Nelson Mandela Park,43.6580572,-79.3607667,M5A,3.3
Sprucecourt,33.7560213,-84.3617217,M5A,6.1
Island Public/Natural Science,43.6155447,-79.3788491,M5J,8.7
Armour Heights,40.7002795,-73.9253503,M5M,8.4
John Wanless,43.7286446,-79.4120987,M5M,8.5
Ledbury Park,43.7274261,-79.4271267,M5M,7.6
Allenby,43.7096995,-79.4129132,M5N,8.2
North Preparatory,43.7054909,-79.4203883,M5N,7.7
Forest Hill,43.6955213,-79.4139356,M5P,8.6
Huron Street,43.6710468,-79.4024143,M5R,6.7
Jesse Ketchum,43.67289,-79.3920399,M5R,5.4
Hillcrest,40.722077,-73.6380989,M5R,7.4
King Edward,43.6576033,-79.4072396,M5S,4.2
Orde Street,43.6583217,-79.3920484,M5T,7.8
Ogden,43.649911,-79.3953435,M5T,6.2
Ryerson,43.6512774,-79.4024241,M5T,5.5
The Waterfront,43.6362375,-79.3972209,M5V,7.9
Glen Park,43.713219,-79.4356652,M6B,5.9
Joyce,43.7103603,-79.4638439,M6B,6.6
West Preparatory,43.7025172,-79.4330705,M6C,8.1
Humewood,43.686776,-79.4282897,M6C,6.7
J R Wilcox,43.6952455,-79.4362188,M6C,4.4
Fairbank,43.6942744,-79.4490216,M6E,4.6
F H Miller,43.6832832,-79.4583028,M6E,0.7
Rawlinson,43.6838135,-79.4403876,M6E,4.3
McMurrich,43.6779351,-79.430978,M6G,6.7
Essex,40.8940516,-74.0767736,M6G,4.3
Clinton Street,43.6576089,-79.4137061,M6G,7.4
Palmerston Avenue,43.6680508,-79.4151857,M6G,8
Hawthorne II Bilingual,40.8940516,-74.0767736,M6G,7.1
Brock,43.652767,-79.43804,M6H,5.1
Dovercourt,43.6667441,-79.4357822,M6H,4.2
Dewson Street,40.6271872,-73.643549,M6H,8
Regal Road,43.6737838,-79.4400665,M6H,6.7
Pauline,42.1611213,-87.9573149,M6H,6.1
Niagara Street,43.6439636,-79.4084905,M6J,7.9
Givins/Shaw,43.6463477,-79.4178754,M6J,7.6
Ossington/Old Orchard,43.6527162,-79.422603,M6J,9.1
Charles G Fraser,37.367532,-121.8285488,M6J,6.8
Alexander Muir/Gladstone Ave,46.5204029,-84.3232678,M6J,7.5
Shirley Street,43.6486765,-79.4365445,M6K,6.3
Queen Victoria,43.6366099,-79.4347327,M6K,5.4
Parkdale,43.6429546,-79.4369739,M6K,2.8
Maple Leaf,43.7149905,-79.4902056,M6L,6.6
Charles E Webster,43.6936611,-79.4750111,M6M,4.9
Kane,43.6871776,-79.4692586,M6M,4.2
Portage Trail Junior Community,43.692329,-79.509687,M6M,4
Roselands,43.681197,-79.4988914,M6N,6.4
Cordella,43.6791435,-79.4876266,M6N,5.1
General Mercer,43.6790683,-79.4640157,M6N,3.3
Harwood,40.6355532,-74.9092995,M6N,5
Carleton Village,43.6726421,-79.4601443,M6N,4.8
Annette Street,43.6608864,-79.4737266,M6P,5.6
Perth Avenue,41.9957505,-71.4829247,M6P,5.4
Keele Street,41.6352128,-71.4121366,M6P,5.8
Mountview Alternative,41.6352128,-71.4121366,M6P,8
Indian Road Crescent,43.6626171,-79.4600608,M6P,7.3
Fern Avenue,36.196844,-86.781746,M6R,7
Garden Avenue,45.7649505,-108.4832622,M6R,7.6
Swansea,43.6434659,-79.4770883,M6S,9.1
Warren Park,43.6628193,-79.4994273,M6S,6.3
King George,35.1580112,-80.8321747,M6S,7
Runnymede,43.6559379,-79.477485,M6S,8.7
John English,43.6120557,-79.4943794,M8V,7.8
Second Street,40.7264704,-73.9895799,M8V,6.1
Lanor,43.609336,-79.5451619,M8W,5.7
James S Bell,43.5939496,-79.5299815,M8W,6.3
Lambton Kingsway,43.6589575,-79.5089642,M8X,7.8
Park Lawn,43.6376642,-79.4967985,M8Y,7.9
Norseman,43.6342673,-79.5165462,M8Z,7.9
Islington,43.6479304,-79.5276102,M9A,6.9
Humber Valley Village,43.6654635,-79.5267309,M9A,9.3
Gulfstream,43.7388698,-79.5424591,M9M,6
Valleyfield,43.694273,-79.538835,M9P,5.4
Dixon Grove,43.6851346,-79.556537,M9R,4.2
Beaumonde Heights,43.7425535,-79.574963,M9V,7.1
North Kipling,43.7517681,-79.5844929,M9V,7.1
Greenholme,43.7349842,-79.5829068,M9V,4.8
Albion Heights,43.7313128,-79.5943549,M9V,5.2
Elmbank,43.7369933,-79.5895916,M9V,4.8
West Humber,43.7239329,-79.5810213,M9W,7.4
The Elms,43.7226446,-79.5518165,M9W,5.4
Humberwood Downs,43.7287533,-79.6191535,M9W,7.7
St Barnabas,43.7972,-79.228293,M1B,5.6
St Bede,43.8178439,-79.2067819,M1B,5.3
St Columba,43.8061979,-79.2117176,M1B,3.8
St Dominic Savio,43.7979572,-79.1559556,M1B,6.2
St Florence,43.7985032,-79.2069582,M1B,6.2
St Gabriel Lalemant,43.8124993,-79.2266994,M1B,7.6
Sacred Heart,43.8121748,-79.2201782,M1B,4.5
St Jean de Brebeuf,43.8023044,-79.1739882,M1B,7.2
St Brendan,43.7829521,-79.149244,M1C,7.8
Cardinal Leger,43.7932108,-79.1754871,M1C,6.3
St Edmund Campion,43.7879438,-79.2155955,M1E,6.2
St Malachy,43.7702881,-79.1662526,M1E,7
St Martin de Porres,41.536443,-87.3395557,M1E,5.1
St Ursula,41.5122035,-72.6417957,M1E,3.9
St Barbara,43.7625002,-79.2189885,M1G,4
St Thomas More,43.7784014,-79.2252454,M1G,5.9
St Richard,43.768536,-79.2400929,M1H,6.6
St Rose of Lima,43.7573036,-79.2405775,M1H,5.9
St Nicholas,43.7402467,-79.2447217,M1J,6.2
St Albert,43.0276407,-76.1518576,M1K,3.9
St Maria Goretti,43.7296872,-79.265558,M1K,6.1
St Dunstan,43.6934759,-79.2844177,M1L,5.1
St Joachim,43.7130009,-79.2753645,M1L,6.9
Our Lady of Fatima,43.7099528,-79.2934715,M1L,5.2
St Agatha,43.7235507,-79.2301649,M1M,6.2
St Boniface,43.7405407,-79.2198698,M1M,5.7
St Theresa Shrine,43.7156135,-79.2426039,M1M,5.9
St Lawrence,43.7491983,-79.2799536,M1P,7.8
St Victor,43.7690509,-79.2591665,M1P,6.1
St Kevin,43.7512786,-79.3063904,M1R,5
Precious Blood,43.7393078,-79.3021449,M1R,5.7
St Elizabeth Seton,43.7888379,-79.2467889,M1S,3.9
St Ignatius of Loyola,43.8031728,-79.2654647,M1S,6.7
Holy Spirit,43.7810611,-79.3029087,M1T,6
Our Lady of Grace,43.8124149,-79.2748893,M1V,7.8
Prince of Peace,43.825423,-79.2788527,M1V,8.3
St Sylvester,43.8052887,-79.3022775,M1V,7.8
The Divine Infant,43.8218159,-79.2703974,M1V,8.1
St Aidan,43.7972494,-79.3091446,M1W,5.6
Epiphany of our Lord,43.7989595,-79.3288643,M1W,2.5
St Henry,43.8138055,-79.3279841,M1W,8.3
Blessed Pier Giorgio Frassati,43.038218,-71.4314438,M1X,7.4
St Gerald,43.7806886,-79.3263996,M2J,4.3
St Matthias,43.7848327,-79.3594811,M2J,7.2
St Timothy,43.7748717,-79.351044,M2J,7.1
Blessed Kateri Tekakwitha,43.4561853,-80.4887281,M2J,5.7
Our Lady of Guadalupe Catholic,43.7901548,-79.3531561,M2J,4.9
Blessed Trinity,43.7866855,-79.3918689,M2K,4.3
St Agnes,43.7985987,-79.402644,M2M,6.4
St Paschal Baylon,43.7920737,-79.4313569,M2M,6.3
St Antoine Daniel,43.7770534,-79.4296862,M2N,5.3
St Edward,43.7530535,-79.4135058,M2N,7
St Gabriel,43.7692643,-79.3910332,M2N,5
Annunciation,43.753071,-79.3209857,M3A,5.7
St Catherine,37.8521643,-122.2421017,M3A,4.4
St Isaac Jogues,43.7624094,-79.3219541,M3A,6.6
St Bonaventure,40.7023915,-74.2316104,M3C,8.7
Blessed John XXIII,43.7124142,-79.329781,M3C,6.7
St Robert,43.749732,-79.4444429,M3H,7.1
St Jerome,43.7489632,-79.4889325,M3J,6.7
St Wilfrid,43.760185,-79.503482,M3J,5
St Norbert,43.7344984,-79.4645022,M3K,6.9
St Jane Frances,43.7420346,-79.5131811,M3L,5.5
St John the Evangelist,43.7188405,-79.5103768,M3L,5.7
St Martha,43.7408625,-79.5021114,M3L,4.7
Blessed Margherita of Citta Castello,43.7437156,-79.5079102,M3L,7.1
St. Andre,42.9463206,-78.7682573,M3L,6.2
St Conrad,43.7296106,-79.4943701,M3M,5.5
St Raphael,43.7287089,-79.4887997,M3M,7.4
St Augustine,43.7678204,-79.5249529,M3N,5.6
St Charles Garnier,43.7624409,-79.5177492,M3N,2.8
St Francis de Sales,43.7541416,-79.5191285,M3N,4.6
